 !
 ! MARCS output file to be read in by DRIFT
 !
 !
 ! Model parameters: Teff, logg, mixing, overshoot:
    4000.000        4.500        2.000        2.200
 !
 ! Number of atmosphere layers:
   48
 !
 ! Number of elements in abundances table:
   48
 !
 ! Z of the considered elements:
    1     2     3     4     5     6     7     8
    9    10    11    12    13    14    15    16
   17    18    19    20    22    23    24    25
   26    27    28    29    30    31    35    36
   37    38    40    41    42    53    54    55
   56    72    73    74    80    82    92    02
 !
 !  #        Rad [cm]        Temp [K] Pgas [dyn cm-2]     Ro [g cm-3]      g [cm s-2] v_conv [cm s-1]  Flag        mu [amu]
   37  0.20564546E+11  0.48497972E+04  0.35737186E+06  0.11534393E-05  0.31601193E+05  0.70914217E+05     T  0.12599546E+01
   38  0.20563263E+11  0.50571720E+04  0.39665045E+06  0.12213094E-05  0.31603163E+05  0.75568977E+05     T  0.12565785E+01
   39  0.20561977E+11  0.52876623E+04  0.44066172E+06  0.12919890E-05  0.31605140E+05  0.79181942E+05     T  0.12541711E+01
   40  0.20560689E+11  0.55411055E+04  0.49036813E+06  0.13672909E-05  0.31607121E+05  0.82450616E+05     T  0.12525125E+01
   41  0.20559398E+11  0.58075918E+04  0.54509589E+06  0.14467049E-05  0.31609104E+05  0.86447806E+05     T  0.12514176E+01
   42  0.20558108E+11  0.60692876E+04  0.60209473E+06  0.15265711E-05  0.31611088E+05  0.91391182E+05     T  0.12507061E+01
   43  0.20556820E+11  0.63135386E+04  0.65864451E+06  0.16033591E-05  0.31613069E+05  0.96113945E+05     T  0.12502202E+01
   44  0.20555536E+11  0.65388621E+04  0.71396854E+06  0.16765220E-05  0.31615043E+05  0.99488884E+05     T  0.12498510E+01
   45  0.20554259E+11  0.67494257E+04  0.76868252E+06  0.17473463E-05  0.31617007E+05  0.10142813E+06     T  0.12495342E+01
   46  0.20552994E+11  0.69498389E+04  0.82376446E+06  0.18173926E-05  0.31618954E+05  0.10230464E+06     T  0.12492317E+01
   47  0.20551743E+11  0.71437188E+04  0.88016511E+06  0.18880354E-05  0.31620878E+05  0.10244283E+06     T  0.12489187E+01
   48  0.20550509E+11  0.73336634E+04  0.93874181E+06  0.19604479E-05  0.31622777E+05  0.10219390E+06     T  0.12485765E+01
 !
 ! Initial Element abundances for each Z:
 12.00 10.93  1.05  1.38  2.70  8.39  7.78  8.66
  4.56  7.84  6.17  7.53  6.37  7.51  5.36  7.14
  5.50  6.18  5.08  6.31  4.90  4.00  5.64  5.39
  7.45  4.92  6.23  4.21  4.60  2.88  2.56  3.25
  2.60  2.92  2.58  1.42  1.92  1.51  2.24  1.12
  2.17  0.88  0.13  1.11  1.09  2.00 -0.47
