SIH4    2 14  1  1  4  0  0  0  0
SIF     2 14  1  9  1  0  0  0  0
SIF2    2 14  1  9  2  0  0  0  0
SICL    2 14  1 17  1  0  0  0  0
SICL2   2 14  1 17  2  0  0  0  0
PH      2 15  1  1  1  0  0  0  0
PHH     2 15  1  1  2  0  0  0  0
PH3     2 15  1  1  3  0  0  0  0
CP      2  6  1 15  1  0  0  0  0
NP      2  7  1 15  1  0  0  0  0
PO      2 15  1  8  1  0  0  0  0
PO2     2 15  1  8  2  0  0  0  0 
PS      2 15  1 16  1  0  0  0  0 
PF      2 15  1  9  1  0  0  0  0
PF2     2 15  1  9  2  0  0  0  0
PCL     2 15  1 17  1  0  0  0  0
COS     3  6  1  8  1 16  1  0  0
SOO     2 16  1  8  2  0  0  0  0
SSO     2 16  2  8  1  0  0  0  0
SO3     2 16  1  8  3  0  0  0  0
CL-     2 17  1 99  1  0  0  0  0
CL2     1 17  2  0  0  0  0  0  0
CCL     2  6  1 17  1  0  0  0  0
CCL2    2  6  1 17  2  0  0  0  0
CCL3    2  6  1 17  3  0  0  0  0
CCL4    2  6  1 17  4  0  0  0  0
CLO     2 17  1  8  1  0  0  0  0
CLO2    2 17  1  8  2  0  0  0  0
CL2O    2 17  2  8  1  0  0  0  0
SCL     2 16  1 17  1  0  0  0  0
SCL2    2 16  1 17  2  0  0  0  0
HCLO    3  1  1 17  1  8  1  0  0
CCLO    3  6  1 17  1  8  1  0  0
KH      2 19  1  1  1  0  0  0  0
KO      2 19  1  8  1  0  0  0  0
KF      2 19  1  9  1  0  0  0  0
CAO     2 20  1  8  1  0  0  0  0
CAS     2 20  1 16  1  0  0  0  0
TIF     2 22  1  9  1  0  0  0  0
TIF2    2 22  1  9  2  0  0  0  0
TICL    2 22  1 17  1  0  0  0  0
TICL2   2 22  1 17  2  0  0  0  0
VN      2 23  1  7  1  0  0  0  0
CRN     2 24  1  7  1  0  0  0  0
CRO     2 24  1  8  1  0  0  0  0
CRO2    2 24  1  8  2  0  0  0  0
FEO     2 26  1  8  1  0  0  0  0
FES     2 26  1 16  1  0  0  0  0 
FEF     2 26  1  9  1  0  0  0  0
FEF2    2 26  1  9  2  0  0  0  0
FECL    2 26  1 17  1  0  0  0  0
FECL2   2 26  1 17  2  0  0  0  0
NICL    2 28  1 17  1  0  0  0  0
CUO     2 29  1  8  1  0  0  0  0
CUF     2 29  1  9  1  0  0  0  0
CUCL    2 29  1 17  1  0  0  0  0
SRO     2 38  1  8  1  0  0  0  0
SRS     2 38  1 16  1  0  0  0  0
SRF     2 38  1  9  1  0  0  0  0
SRF2    2 38  1  9  2  0  0  0  0
SRCL    2 38  1 17  1  0  0  0  0
SRCL2   2 38  1 17  2  0  0  0  0
SROH    3 38  1  8  1  1  1  0  0
ZRH     2 40  1  1  1  0  0  0  0
ZRN     2 40  1  7  1  0  0  0  0
ZRO2    2 40  1  8  2  0  0  0  0
ZRF     2 40  1  9  1  0  0  0  0
ZRF2    2 40  1  9  2  0  0  0  0
ZRCL    2 40  1 17  1  0  0  0  0
ZRCL2   2 40  1 17  2  0  0  0  0
HI      2  1  1 53  1  0  0  0  0
BAO     2 56  1  8  1  0  0  0  0
BAS     2 56  1 16  1  0  0  0  0
BAF     2 56  1  9  1  0  0  0  0
BAF2    2 56  1  9  2  0  0  0  0
BACL    2 56  1 17  1  0  0  0  0
BACL2   2 56  1 17  2  0  0  0  0
BAOH    3 56  1  8  1  1  1  0  0
NBO     2 41  1  8  1  0  0  0  0
C4      1  6  4  0  0  0  0  0  0
C5      1  6  5  0  0  0  0  0  0
TiH     2 22  1  1  1  0  0  0  0
CaH     2 20  1  1  1  0  0  0  0
FeH     2 26  1  1  1  0  0  0  0
CrH     2 24  1  1  1  0  0  0  0
