NaOH       -0.76963E+03    0.19419E+03    0.12161E+02   -0.24523E+01    0.17807E+00     3       Tsuji 73
CSi2       -0.10830E+04    0.25286E+03    0.64211E+01   -0.12373E+01    0.77330E-01     3     Burrows 99
SiO2       -0.12504E+04    0.25449E+03    0.12429E+02   -0.25838E+01    0.18974E+00     3       Tsuji 73
H2S        -0.73508E+03    0.19126E+03    0.18709E+02   -0.35677E+01    0.24421E+00     3     Burrows 99
CS2        -0.11570E+04    0.26253E+03    0.49703E+01   -0.11157E+01    0.79532E-01     3     Burrows 99
AlCl       -0.50264E+03    0.10099E+03    0.55558E+01   -0.95924E+00    0.62187E-01     2     Burrows 99
ClNa       -0.40944E+03    0.85360E+02    0.69497E+01   -0.13684E+01    0.10123E+00     2     Burrows 99
ClK        -0.42289E+03    0.79754E+02    0.86977E+01   -0.18505E+01    0.15048E+00     2     Burrows 99
KOH        -0.78625E+03    0.19309E+03    0.11979E+02   -0.24317E+01    0.18311E+00     3       Tsuji 73
CaCl       -0.40490E+03    0.76481E+02    0.59596E+01   -0.11493E+01    0.95325E-01     2     Burrows 99
CaCl2      -0.89324E+03    0.19359E+03    0.43316E+01   -0.97147E+00    0.90663E-01     3     Burrows 99
CaOH       -0.83594E+03    0.18796E+03    0.13659E+02   -0.28215E+01    0.21824E+00     3       Tsuji 73
TiO2       -0.12742E+04    0.23579E+03    0.13286E+02   -0.24049E+01    0.17874E+00     3       Tsuji 73
VO2        -0.12429E+04    0.23036E+03    0.17159E+02   -0.32722E+01    0.23958E+00     3       Tsuji 73
HLi        -0.23837E+03    0.82149E+02    0.67805E+01   -0.13062E+01    0.94598E-01     2     Burrows 99
LiO        -0.32577E+03    0.88023E+02    0.54348E+01   -0.10184E+01    0.75726E-01     2     Burrows 99
FLi        -0.58060E+03    0.96792E+02    0.63270E+01   -0.11942E+01    0.87344E-01     2     Burrows 99
ClLi       -0.47756E+03    0.89399E+02    0.64984E+01   -0.12177E+01    0.88575E-01     2     Burrows 99
LiOH       -0.85802E+03    0.19687E+03    0.13028E+02   -0.26271E+01    0.19138E+00     3       Tsuji 73
BeH2       -0.63824E+03    0.19107E+03    0.17975E+02   -0.36754E+01    0.26329E+00     3     Burrows 99
BeO        -0.43648E+03    0.88239E+02    0.16127E+02   -0.39594E+01    0.29704E+00     2     Burrows 99
BeF        -0.57650E+03    0.88787E+02    0.75300E+01   -0.14086E+01    0.10008E+00     2     Burrows 99
BeCl       -0.38801E+03    0.82425E+02    0.71688E+01   -0.13286E+01    0.93894E-01     2     Burrows 99
BeCl2      -0.93080E+03    0.21474E+03    0.63560E+01   -0.12959E+01    0.95010E-01     3     Burrows 99
BeOH       -0.90264E+03    0.19461E+03    0.17131E+02   -0.34791E+01    0.25059E+00     3       Tsuji 73
BH         -0.39041E+03    0.22848E+03   -0.78261E+02    0.18766E+02   -0.14491E+01     2     Burrows 99
BH2        -0.85174E+03    0.33794E+03   -0.73121E+02    0.17670E+02   -0.13705E+01     3     Burrows 99
BO         -0.86460E+03    0.24436E+03   -0.79124E+02    0.18972E+02   -0.14630E+01     2     Burrows 99
B2O        -0.13840E+04    0.50899E+03   -0.16298E+03    0.38716E+02   -0.29752E+01     3     Burrows 99
BS         -0.64956E+03    0.23926E+03   -0.80325E+02    0.19166E+02   -0.14778E+01     2     Burrows 99
BF         -0.81028E+03    0.24553E+03   -0.79876E+02    0.19091E+02   -0.14708E+01     2     Burrows 99
BCl        -0.59493E+03    0.23818E+03   -0.80568E+02    0.19225E+02   -0.14804E+01     2     Burrows 99
BHO        -0.12823E+04    0.36288E+03   -0.74648E+02    0.17967E+02   -0.13907E+01     3     Burrows 99
