H2N2    -1163.86      305.533      32.6114     -6.56682     0.466809     4
H4N2    -1713.97      507.319      48.9399     -10.1709     0.727566     6
CNN     -1074.88      226.549      14.1348     -2.89147     0.210962     3
NCN     -1186.60      233.112      11.8154     -2.50357     0.186792     3
C4N2    -3272.64      637.945      21.9932     -5.14686     0.392602     6
NO2     -934.885      228.143      17.8111     -3.52443     0.252857     3
NO3     -1144.10      374.303      20.5657     -4.39389     0.324610     4
N2O     -1109.46      241.010      15.4729     -3.23683     0.237411     3
N2O4    -1925.94      633.763      26.9240     -6.14030     0.462234     6
HNO     -837.354      200.336      20.9253     -4.06166     0.286318     3
HNO2    -1261.00      329.651      25.7354     -5.26963     0.378861     4
HNO3    -1565.92      470.991      31.6112     -6.72891     0.490538     5
CHNO    -1753.52      337.585      26.4573     -5.35808     0.383799     4
O-      -147.008      19.3384      17.7891     -2.61587     0.163322     2
O2-     -546.178      127.154      24.9800     -3.95149     0.255174     3
OH-     -610.106      116.466      28.7596     -4.54055     0.289614     3
CO2-    -1654.21      250.910      34.2387     -5.80233     0.389087     4
C2O     -1393.16      238.528      12.6266     -2.77375     0.206930     3
CHO     -1137.38      201.265      20.9616     -4.06446     0.285390     3
CH2O    -1513.02      317.691      33.7281     -6.80004     0.482813     4
F2      -157.445      111.569      8.65892     -1.71119     0.127018     2
FO      -218.285      99.4383      8.95642     -1.73507     0.121415     2
HNa     -199.838      76.8428      7.75957     -1.54787     0.112104     2
NaO     -271.558      82.3234      5.81251     -1.14507     0.084472     2
FNa     -475.936      91.6013      6.64048     -1.29300     0.094097     2
MgO     -337.357      99.4245     -2.88660      0.29291    -0.002811     2
MgS     -278.002      93.4023     -3.85689      0.61385    -0.029305     2
FMg     -462.012      82.9257      7.44836     -1.43533     0.103258     2
F2Mg    -1030.28      204.031      11.4991     -2.25273     0.163248     3
ClMg    -310.845      77.0852      6.96892     -1.31016     0.093332     2
Cl2Mg   -780.865      198.690      6.21101     -1.30062     0.096961     3
AlH     -286.870      87.5029      9.61505     -1.85378     0.128638     2
AlO     -510.528      103.850      8.42715     -2.00255     0.150225     2
AlO2    -911.552      229.535      8.40395     -1.81369     0.133412     3
AlS     -367.185      99.9764      6.69938     -1.65796     0.129260     2
AlF2    -1180.24      211.520      12.9093     -2.51941     0.178088     3
AlCl2   -850.450      199.618      11.1743     -2.09881     0.145363     3
Si-     -140.562      20.8890      19.3411     -3.08719     0.194130     2
H4Si    -1281.08      407.801      38.4924     -8.02104     0.576285     5
FSi     -547.952      97.2236      8.03243     -1.44993     0.099832     2
F2Si    -1193.55      222.093      13.8525     -2.65506     0.187767     3
ClSi    -371.845      92.0290      6.88296     -1.18444     0.079340     2
