 
 Stellar Parameters:
 ==================
 Teff =  2500.00  logg =  4.50  mixLengthPara =  2.00  OvershotPara =  2.20
  13 deep element abundances
           1 H    1.00000000000000     
           6 C   2.454708915685033E-004
           7 N   6.025595860743581E-005
           8 O   4.570881896148752E-004
          11 Na  1.479108388168207E-006
          12 Mg  3.388441561392028E-005
          13 Al  2.344228815319923E-006
          14 Si  3.235936569296281E-005
          16 S   1.380384264602884E-005
          19 K   1.202264434617413E-007
          20 Ca  2.041737944669527E-006
          22 Ti  7.943282347242822E-008
          26 Fe  2.818382931264455E-005
 
 Dust Parameters:
 ===============
 Nl =  1000  Vl =    3.136480E-20  Abschluss =  8
   1 nucleation species
 TiO2    
   7 dust species
 TiO2[s]   
 Mg2SiO4[s]
 SiO2[s]   
 Fe[s]     
 Al2O3[s]  
 MgO[s]    
 MgSiO3[s] 
   6 affected elements
          12 Mg
          14 Si
          22 Ti
           8 O 
          26 Fe
          13 Al
 
                   R                   T                 rho                   p                  L0                  L1                  L2                  L3     Vol%_TiO2[s]        Vol%_Mg2SiO4[s]     Vol%_SiO2[s]        Vol%_Fe[s]          Vol%_Al2O3[s]       Vol%_MgO[s]         Vol%_MgSiO3[s]               eps_Mg              eps_Si              eps_Ti              eps_O               eps_Fe              eps_Al
  2.059142083476E+10  1.135237135683E+03  2.744831940851E-13  1.109640920228E-02  1.800619144886E-08  5.678532252192E-15  1.790813378318E-21  5.647608243726E-28  9.999996051565E-01  1.191954863361E-07  8.187125207286E-08  1.995822054035E-08  2.868151924567E-09  5.738404047476E-08  1.135663432291E-07  3.388441557266E-05  3.235936566404E-05  2.350704740211E-09  4.569340252773E-04  2.818382930446E-05  2.344228814670E-06
  2.059142019063E+10  1.135237210687E+03  2.745576021228E-13  1.109941761927E-02  2.797199024863E-08  8.821402393701E-15  2.781966513641E-21  8.773364299270E-28  9.999993867594E-01  1.851258060407E-07  1.271559457885E-07  3.099754627550E-08  4.454616668976E-09  8.912437994727E-08  1.763822684420E-07  3.388441554985E-05  3.235936564804E-05  2.350252404902E-09  4.569340243173E-04  2.818382929993E-05  2.344228814310E-06
  2.059141890236E+10  1.135237360694E+03  2.747064787154E-13  1.110543690032E-02  4.792971431916E-08  1.511538344133E-14  4.766872071408E-21  1.503307503470E-27  9.999989496814E-01  3.170733020995E-07  2.177837944124E-07  5.309048876361E-08  7.629658810720E-09  1.526461035858E-07  3.020952483626E-07  3.388441550420E-05  3.235936561604E-05  2.349348010820E-09  4.569340223978E-04  2.818382929087E-05  2.344228813591E-06
  2.059141632584E+10  1.135237660709E+03  2.750044741264E-13  1.111748525710E-02  8.794988118644E-08  2.773637574555E-14  8.747101521010E-21  2.758535783788E-27  9.999980743885E-01  5.813161086543E-07  3.992735923445E-07  9.733360053241E-08  1.398820313738E-08  2.798539096376E-07  5.538460816534E-07  3.388441541285E-05  3.235936555199E-05  2.347540328231E-09  4.569340185608E-04  2.818382927274E-05  2.344228812151E-06
  2.059141117279E+10  1.135238260739E+03  2.756014350750E-13  1.114162119884E-02  1.684107982066E-07  5.311102014383E-14  1.674940378383E-20  5.282190519611E-27  9.999963192455E-01  1.111196040762E-06  7.631916108592E-07  1.860492262752E-07  2.673920639311E-08  5.349283776656E-07  1.058650047658E-06  3.388441522990E-05  3.235936542372E-05  2.343929381029E-09  4.569340108951E-04  2.818382923643E-05  2.344228809267E-06
  2.059140086669E+10  1.135239460799E+03  2.767992473113E-13  1.119005039269E-02  3.310287215912E-07  1.043952879914E-13  3.292275093960E-20  1.038272464439E-26  9.999927906497E-01  2.176558257451E-06  1.494797890534E-06  3.644021430172E-07  5.237748100113E-08  1.047724379574E-06  2.073490167888E-06  3.388441486298E-05  3.235936516648E-05  2.336725123752E-09  4.569339955965E-04  2.818382916362E-05  2.344228803482E-06
  2.059139575554E+10  1.135240055950E+03  2.773952131295E-13  1.121414611851E-02  4.125232123792E-07  1.300959765793E-13  4.102790488932E-20  1.293882427277E-26  9.999910315934E-01  2.707693892048E-06  1.859501245925E-06  4.533117644180E-07  6.516014471409E-08  1.303353738748E-06  2.579385845699E-06  3.388441468050E-05  3.235936503856E-05  2.333160989262E-09  4.569339880256E-04  2.818382912741E-05  2.344228800604E-06
  2.059138553324E+10  1.135241246252E+03  2.785909969825E-13  1.126249333911E-02  5.772159627902E-07  1.820347574213E-13  5.740772093213E-20  1.810448987460E-26  9.999874952617E-01  3.775540558604E-06  2.592659227764E-06  6.320480608535E-07  9.086108393467E-08  1.817246257042E-06  3.596383113568E-06  3.388441431454E-05  3.235936478200E-05  2.326049984412E-09  4.569339729159E-04  2.818382905480E-05  2.344228794832E-06
  2.059136508865E+10  1.135243626855E+03  2.809980511170E-13  1.135981399284E-02  9.135276207436E-07  2.880969787565E-13  9.085644186767E-20  2.865317458196E-26  9.999803490815E-01  5.933734037708E-06  4.074111290054E-06  9.932209775040E-07  1.428102363242E-07  2.855658648040E-06  5.651383277704E-06  3.388441357846E-05  3.235936426599E-05  2.311896762137E-09  4.569339428239E-04  2.818382890875E-05  2.344228783219E-06
  2.059132419946E+10  1.135248388062E+03  2.858747306422E-13  1.155698544798E-02  1.614768857388E-06  5.092478133123E-13  1.606010226040E-19  5.064859934198E-26  9.999657574731E-01  1.034172766257E-05  7.098619177298E-06  1.730627751258E-06  2.489366769583E-07  4.975738021053E-06  9.846877611621E-06  3.388441208910E-05  3.235936322201E-05  2.283863328210E-09  4.569338831444E-04  2.818382861331E-05  2.344228759704E-06
