 before    after
  1     NaN        NaN 2.1723E-18 1.1694E+00        NaN        NaN
  2     NaN        NaN 4.4142E-18 1.1694E+00        NaN        NaN
  3     NaN        NaN 1.1234E-17 1.1694E+00        NaN        NaN
  4     NaN        NaN 2.6006E-17 1.1694E+00        NaN        NaN
  5     NaN        NaN 5.5730E-17 1.1694E+00        NaN        NaN
  6     NaN        NaN 1.2530E-16 1.1694E+00        NaN        NaN
  7     NaN        NaN 2.8964E-16 1.1694E+00        NaN        NaN
  8     NaN        NaN 6.6731E-16 1.1694E+00        NaN        NaN
  9     NaN        NaN 1.5380E-15 1.1694E+00        NaN        NaN
 10     NaN        NaN 3.5378E-15 1.1694E+00        NaN        NaN
 11     NaN        NaN 8.0794E-15 1.1694E+00        NaN        NaN
 12     NaN        NaN 1.8505E-14 1.1694E+00        NaN        NaN
 13     NaN        NaN 4.2446E-14 1.1694E+00        NaN        NaN
 14     NaN        NaN 9.7911E-14 1.1694E+00        NaN        NaN
 15     NaN        NaN 2.2601E-13 1.1694E+00        NaN        NaN
 16     NaN        NaN 5.2805E-13 1.1694E+00        NaN        NaN
 17     NaN        NaN 1.2257E-12 1.1694E+00        NaN        NaN
 18     NaN        NaN 2.8408E-12 1.1694E+00        NaN        NaN
 19     NaN        NaN 6.0263E-12 1.1694E+00        NaN        NaN
 20     NaN        NaN 1.2393E-11 1.1694E+00        NaN        NaN
 21     NaN        NaN 3.2979E-11 1.1694E+00        NaN        NaN
 22     NaN        NaN 6.9578E-11 1.1694E+00        NaN        NaN
 23     NaN        NaN 2.6690E-10 1.1694E+00        NaN        NaN
 24     NaN        NaN 4.4077E-10 1.1694E+00        NaN        NaN
 25     NaN        NaN 1.4695E-09 1.1694E+00        NaN        NaN
 26     NaN        NaN 3.0477E-09 1.1694E+00        NaN        NaN
 27     NaN        NaN 5.3579E-09 1.1694E+00        NaN        NaN
 28     NaN        NaN 2.2416E-08 1.1694E+00        NaN        NaN
 29     NaN        NaN 1.1804E-07 1.1694E+00        NaN        NaN
 30     NaN        NaN 4.4539E-08 1.1694E+00        NaN        NaN
 31     NaN        NaN 1.0632E-07 1.1694E+00        NaN        NaN
 32     NaN        NaN 3.7937E-07 1.1694E+00        NaN        NaN
 33     NaN        NaN 1.0093E-06 1.1694E+00        NaN        NaN
 34     NaN        NaN 2.3184E-06 1.1694E+00        NaN        NaN
 35     NaN        NaN 4.2225E-06 1.1694E+00        NaN        NaN
 36     NaN        NaN 6.8840E-06 1.1694E+00        NaN        NaN
 37     NaN        NaN 1.7582E-05 1.1694E+00        NaN        NaN
 38     NaN        NaN 3.4392E-07 1.1694E+00        NaN        NaN
 39     NaN        NaN 5.1219E-02 1.1694E+00        NaN        NaN
 40     NaN        NaN 5.8834E-01 1.1694E+00        NaN        NaN
 41     NaN        NaN 1.1694E+00 1.1694E+00        NaN        NaN
 42     NaN        NaN 1.1694E+00 1.1694E+00        NaN        NaN
 43     NaN        NaN 1.1694E+00 1.1694E+00        NaN        NaN
 44     NaN        NaN 1.1694E+00 1.1694E+00        NaN        NaN
 45     NaN        NaN 1.1694E+00 1.1694E+00        NaN        NaN
 46     NaN        NaN 1.1694E+00 1.1694E+00        NaN        NaN
 47     NaN        NaN 1.1694E+00 1.1694E+00        NaN        NaN
 48     NaN        NaN 1.1694E+00 1.1694E+00        NaN        NaN
 49     NaN        NaN 1.1694E+00 1.1694E+00        NaN        NaN
 50     NaN        NaN 1.1694E+00 1.1694E+00        NaN        NaN
 51     NaN        NaN 1.1694E+00 1.1694E+00        NaN        NaN
 52     NaN        NaN 1.1694E+00 1.1694E+00        NaN        NaN
 53     NaN        NaN 1.1694E+00 1.1694E+00        NaN        NaN
